x,z,r00,r02,v_l,v_r
-1158.85,2452.24,0.988857,-0.14887,25.6604,26.1152
-1161.26,2468.62,0.9903,-0.138947,25.4705,26.3255
-1163.34,2485.06,0.994357,-0.106089,25.481,26.3361
-1164.67,2501.58,0.998671,-0.0515476,25.6367,26.2116
-1165.11,2517.64,0.999999,-0.00135904,25.5559,26.3128
-1164.84,2534.23,0.999306,0.0372464,25.5661,26.3231
-1163.85,2550.8,0.99633,0.0855925,26.0221,25.8993
-1162.12,2566.79,0.992124,0.125261,25.9192,26.0211
-1160.1,2583.28,0.992811,0.11969,25.9287,26.0306
-1158.06,2599.78,0.99201,0.126161,26.4091,25.5875
-1155.92,2616.27,0.992348,0.123469,26.2119,25.8045
-1154.27,2632.82,0.997163,0.0752735,26.2215,25.8142
-1153.22,2649.43,0.998786,0.0492543,26.6327,25.4403
-1152.62,2665.55,0.999843,0.017736,26.2,25.8936
-1152.91,2682.21,0.998764,-0.0496945,26.2095,25.9031
-1153.86,2698.33,0.99764,-0.068656,26.2944,25.848
-1155.2,2715.48,0.995923,-0.0902091,25.9272,26.2341
-1156.86,2731.56,0.993904,-0.110252,25.8855,26.2947
-1158.55,2748.17,0.99597,-0.0896917,26.0219,26.1844
-1159.85,2764.81,0.997817,-0.0660429,25.7812,26.4441
-1160.84,2780.97,0.998647,-0.0519928,25.8159,26.4289
-1161.37,2797.67,0.999949,-0.0100926,26.9619,25.3624
-1161.25,2814.39,0.999975,0.00701244,25.9425,26.4037
-1161.92,2831.12,0.997207,-0.074684,26.0538,26.311
-1162.92,2847.31,0.998858,-0.0477754,26.0629,26.3202
-1163.59,2864.06,0.999509,-0.0313269,26.1499,26.2649
-1163.99,2880.81,0.999867,-0.0162911,25.9852,26.448
-1164.2,2897.59,0.999985,-0.00545506,25.9945,26.4573
-1164.07,2913.84,0.99973,0.0232362,26.2802,26.2027
-1163.45,2930.61,0.998822,0.0485173,26.0958,26.4053
-1162.67,2947.39,0.998875,0.0474258,26.1048,26.4144
-1161.72,2964.16,0.997739,0.0672017,26.4732,26.0795
-1160.44,2980.92,0.996799,0.0799442,26.2854,26.2854
-1159.29,2997.7,0.998274,0.0587334,26.2943,26.2943
-1158.3,3014.5,0.998274,0.0587334,26.7733,25.8524
-1157.35,3030.77,0.998679,0.0513773,26.3741,26.2705
-1156.94,3047.6,1,0.000635425,26.383,26.2794
-1156.98,3064.45,0.999982,-0.0059923,26.6873,26.0084
-1157.14,3081.3,0.999831,-0.0183735,26.2792,26.4348
-1157.76,3097.63,0.998553,-0.0537682,26.2881,26.4437
-1158.59,3114.48,0.999039,-0.0438235,26.4782,26.284
-1159.25,3131.34,0.999302,-0.0373691,26.1827,26.5974
-1159.95,3147.68,0.999008,-0.044531,26.1917,26.6064
-1160.49,3164.56,0.999838,-0.0180039,26.4814,26.3486
-1160.59,3181.46,0.999991,0.00415816,26.2162,26.6315
-1160.58,3198.36,0.999999,0.00114395,26.2251,26.6405
-1160.35,3215.27,0.999616,0.027722,26.6743,26.2257
-1159.68,3232.18,0.998957,0.0456533,26.3546,26.563
-1159.13,3249.1,0.999723,0.0235248,26.3633,26.5717
-1158.64,3265.49,0.999336,0.0364368,26.8209,26.1483
-1157.93,3282.42,0.999161,0.040959,26.4674,26.5196
-1157.57,3299.37,0.999987,0.00517208,26.5021,26.5021
-1157.46,3316.32,0.999968,0.00799083,27.6691,25.4087
-1157.33,3332.76,0.999949,-0.0100914,26.4985,26.603
-1158.72,3350.2,0.990817,-0.135208,26.5068,26.6116
-1160.89,3366.52,0.991673,-0.128778,26.7929,26.3573
-1163.03,3383.38,0.99184,-0.127488,26.1686,26.9997
-1165.41,3400.23,0.989786,-0.142559,26.1774,27.0094
-1167.37,3416.59,0.995816,-0.0913798,26.3741,26.8421
-1168.5,3433.57,0.999122,-0.0418867,26.1248,27.1097
-1168.97,3450.59,0.999977,-0.00677704,26.3386,26.9142
-1168.59,3467.62,0.99864,0.0521417,26.3474,26.923
-1167.4,3484.62,0.996042,0.088887,26.5733,26.7221
-1165.66,3501.04,0.992655,0.120982,26.6035,26.7087
-1163.53,3517.96,0.991514,0.129999,27.6219,25.7571
-1161.27,3534.88,0.993116,0.117133,26.8316,26.5685
-1160.21,3551.92,0.999901,0.0140681,26.919,26.4979
-1160.1,3569,0.999991,-0.00434891,26.9275,26.5064
-1160.4,3586.1,0.99951,-0.0312914,26.9475,26.519
-1161.12,3602.65,0.998349,-0.0574458,26.9738,26.5275
-1162.32,3619.71,0.996383,-0.0849753,27.1651,26.3797
-1164,3636.75,0.99316,-0.116765,26.5438,27.0184
-1166.31,3653.19,0.987912,-0.155018,26.4476,27.1316
-1168.73,3670.16,0.992423,-0.122867,26.4563,27.1403
-1170.48,3687.21,0.996849,-0.0793208,26.2902,27.3263
-1171.49,3704.33,0.999485,-0.0321005,26.3205,27.3147
-1171.51,3721.49,0.999429,0.0337792,27.1356,26.5623
-1170.47,3738.08,0.996567,0.0827894,26.437,27.2782
-1169.33,3755.23,0.99818,0.060301,26.7334,26.9988
-1167.87,3772.35,0.994129,0.1082,26.7415,27.0068
-1165.94,3788.9,0.992215,0.124539,27.0375,26.7365
-1163.59,3806.48,0.990669,0.136287,27.0013,26.7887
-1161.46,3823.01,0.992936,0.118652,27.7363,26.0985
-1159.54,3840.12,0.995855,0.0909497,27.166,26.6883
-1158.81,3857.32,0.999998,-0.00213858,27.1479,26.7227
-1159.09,3874.56,0.999482,-0.0321833,28.3638,25.5803
-1159.85,3891.24,0.997004,-0.0773441,27.1448,26.8252
-1162.59,3908.26,0.973454,-0.228881,26.8861,27.0997
-1166.7,3925.04,0.969881,-0.24358,26.7081,27.2936
-1170.8,3941.82,0.973969,-0.226682,26.7162,27.3018
-1174.31,3958.19,0.981554,-0.191183,26.2164,27.8206
-1177.31,3975.21,0.989548,-0.144202,26.2026,27.8564
-1178.98,3992.41,0.999137,-0.0415313,27.0031,27.1235
-1178.85,4009.71,0.998801,0.0489466,26.442,27.7019
-1177.97,4026.46,0.997853,0.0654977,26.6817,27.4801
-1176.18,4043.69,0.989866,0.142004,26.6901,27.4885
-1173.31,4060.79,0.981321,0.192375,27.025,27.1716
-1169.57,4077.71,0.971773,0.235917,27.2133,26.9986
-1165.54,4094.02,0.970293,0.241933,27.2209,27.0062
-1161.33,4111.41,0.973624,0.228158,27.7494,26.5106
-1157.6,4127.81,0.978728,0.205163,27.6174,26.6608
-1154.67,4144.92,0.99154,0.129801,27.6261,26.6694
-1152.92,4162.19,0.997624,0.0688869,28.1132,26.2213
-1152.22,4179.55,0.999999,-0.00164041,27.4722,26.8824
-1153.16,4196.36,0.994396,-0.105719,27.4801,26.8903
-1155.31,4213.62,0.989698,-0.143168,27.3376,27.0571
-1158.1,4230.8,0.984144,-0.17737,26.9097,27.5004
-1161.33,4247.9,0.982463,-0.186456,26.9175,27.5082
-1164.27,4265.06,0.988808,-0.149192,26.9401,27.5101
-1166.5,4281.79,0.993585,-0.113092,27.1913,27.3058
-1168.18,4299.13,0.996688,-0.0813191,26.7233,27.7897
-1169.53,4316.52,0.997917,-0.0645158,26.7319,27.7984
-1170.1,4333.95,0.999993,0.00369161,27.0021,27.5508
-1169.48,4351.39,0.997772,0.0667224,27.0948,27.4732
-1168.08,4368.24,0.995094,0.0989303,27.1023,27.4806
-1166.16,4385.59,0.992407,0.122995,27.4466,27.1601
-1163.82,4402.9,0.990094,0.140409,27.392,27.2294
-1161.58,4419.68,0.992309,0.123785,27.3993,27.2367
-1159.5,4437.04,0.993543,0.113454,27.972,26.6981
-1157.61,4454.42,0.995547,0.0942629,27.56,27.1267
-1156.62,4471.88,0.999774,0.0212792,27.5675,27.1341
-1156.47,4489.38,0.999979,-0.00645173,27.9129,26.8199
-1156.82,4506.88,0.999169,-0.0407701,27.3472,27.4015
-1158.1,4524.35,0.995078,-0.0990961,27.3543,27.4087
-1159.75,4541.24,0.995406,-0.0957435,27.4274,27.3607
-1161.4,4558.69,0.995621,-0.0934864,27.0497,27.7531
-1163.07,4576.14,0.995936,-0.0900678,27.0574,27.7608
-1164.28,4593.64,0.99898,-0.0451599,27.2852,27.5603
-1164.71,4611.17,0.99999,-0.00444075,27.0515,27.8088
-1164.63,4628.72,0.999838,0.0179867,27.0592,27.8166
-1163.92,4646.26,0.997793,0.0664081,27.5107,27.3921
-1162.43,4663.21,0.994529,0.104464,27.3494,27.5675
-1160.65,4680.69,0.994961,0.100264,27.3565,27.5745
-1158.84,4697.61,0.993514,0.113706,27.8428,27.1195
-1156.73,4715.07,0.992988,0.118217,27.6521,27.3249
-1155.03,4732.57,0.997101,0.0760926,27.6593,27.332
-1153.86,4750.13,0.998476,0.0551944,28.0948,26.9274
-1153.07,4767.71,0.999707,0.0241937,27.6828,27.3551
-1153.23,4784.76,0.999209,-0.039776,27.5533,27.4985
-1154.1,4802.35,0.998317,-0.0579965,27.5602,27.5054
-1155.15,4819.94,0.998108,-0.0614929,27.5967,27.4915
-1156.23,4836.97,0.997867,-0.0652826,28.4831,26.6733
-1157.45,4854.56,0.996032,-0.0889906,27.3957,27.7787
-1159.95,4872.03,0.983301,-0.181989,27.3752,27.8132
-1162.97,4889.42,0.987553,-0.157288,28.3341,26.9199
-1165.45,4906.35,0.989419,-0.145089,27.3344,27.9361
-1168.74,4923.72,0.976772,-0.21428,27.1005,28.1851
-1172.21,4941.06,0.985138,-0.171762,26.8263,28.4771
-1174.68,4958.58,0.995247,-0.0973843,26.836,28.4871
-1175.53,4976.25,0.999967,0.00811556,26.9209,28.4215
-1174.51,4993.91,0.993704,0.112041,27.084,28.276
-1171.85,5010.86,0.979497,0.201457,27.0922,28.2843
-1167.66,5028.07,0.961295,0.275522,27.7851,27.6139
-1162.19,5044.92,0.942156,0.335175,29.2318,26.1923
-1156.35,5061.66,0.954699,0.297574,29.2509,26.2103
-1152.65,5078.97,0.994216,0.107402,30.446,25.0844
-1152.32,5096.14,0.995056,-0.099314,29.9398,25.6723
-1156.87,5113.23,0.907347,-0.420383,29.9738,25.7061
-1166.32,5128.25,0.760319,-0.64955,29.3574,26.3753
-1179.49,5140.18,0.567553,-0.823337,28.3196,27.4381
-1194.99,5148.95,0.420216,-0.907424,28.3268,27.4454
-1211.37,5156.02,0.368383,-0.929674,26.7707,29.0204
-1228.12,5162.18,0.344938,-0.938625,26.264,29.5604
-1243.91,5169.19,0.479451,-0.877569,26.2839,29.5813
-1258.64,5179.24,0.652596,-0.757706,26.0783,29.8339
-1270.94,5192.17,0.799594,-0.600541,26.2018,29.7585
-1279.99,5207.56,0.918782,-0.394766,26.7984,29.197
-1285.27,5224.63,0.982048,-0.18863,26.8114,29.2099
-1287.37,5242.41,0.999343,-0.0362463,27.9088,28.1324
-1286.75,5260.31,0.995443,0.0953561,29.7835,26.2858
-1284.96,5278.15,0.997366,0.0725315,29.8065,26.3072
-1285.46,5295.49,0.98961,-0.143779,30.6927,25.4909
-1289.89,5312.86,0.9267,-0.375803,30.9454,25.3632
-1299.12,5328.2,0.750494,-0.660877,31.0122,25.4266
-1313.04,5339.49,0.471962,-0.881619,30.9191,25.6333
-1330.08,5345.21,0.136606,-0.990626,29.9264,26.6867
-1347.53,5344.94,-0.1694,-0.985547,29.9446,26.7058
-1364.98,5340.16,-0.368647,-0.929569,28.1948,28.4884
-1381.09,5331.92,-0.522273,-0.852778,27.202,29.4974
-1396.65,5322.6,-0.48879,-0.872401,27.2133,29.5092
-1412.51,5315.05,-0.360105,-0.932912,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,-1413.57,5314.64,-0.355818,-0.934555,
