x,z,r00,r02,v_l,v_r
992.169,-4839.7,0.596633,-0.802514,7.01929,6.95049
988.706,-4837.14,0.593205,-0.805051,7.05437,6.99666
985.099,-4834.49,0.589744,-0.80759,7.09521,7.0368
981.46,-4831.85,0.586751,-0.809767,7.13571,7.07727
977.791,-4829.2,0.583719,-0.811955,7.17041,7.12336
974.206,-4826.63,0.580867,-0.813999,7.1281,7.24676
970.477,-4823.98,0.579764,-0.814785,7.16862,7.28733
966.852,-4821.38,0.585743,-0.810497,7.19706,7.34014
963.11,-4818.65,0.59208,-0.805879,7.22499,7.39355
959.37,-4815.88,0.599639,-0.800271,7.26563,7.43426
955.755,-4813.14,0.60797,-0.79396,7.31162,7.46929
952.032,-4810.26,0.616417,-0.78742,7.35709,7.50442
948.319,-4807.33,0.62425,-0.781224,7.39735,7.54474
944.731,-4804.43,0.631361,-0.775489,7.4432,7.5792
941.033,-4801.4,0.63856,-0.769572,7.4829,7.61968
937.344,-4798.31,0.64524,-0.76398,7.52296,7.6598
933.778,-4795.27,0.651697,-0.75848,7.49005,7.77531
930.103,-4792.09,0.65943,-0.751766,7.53638,7.8112
926.456,-4788.84,0.672967,-0.739673,7.57744,7.85236
922.849,-4785.5,0.685873,-0.727722,7.61687,7.89487
919.392,-4782.19,0.698199,-0.715904,7.66299,7.93027
915.865,-4778.69,0.71075,-0.703445,7.70371,7.97108
912.49,-4775.23,0.722309,-0.691571,7.75514,8.00037
909.048,-4771.57,0.733886,-0.679272,7.80722,8.02841
905.648,-4767.85,0.744296,-0.66785,7.86508,8.04977
902.287,-4764.05,0.753436,-0.657522,7.90466,8.08941
898.957,-4760.19,0.761155,-0.64857,7.95017,8.12281
895.759,-4756.4,0.768457,-0.639902,7.99516,8.1563
892.487,-4752.43,0.775407,-0.631462,8.03437,8.19557
889.341,-4748.53,0.781677,-0.623683,8.08638,8.22162
886.12,-4744.45,0.78791,-0.61579,8.13133,8.25435
882.921,-4740.32,0.793136,-0.609044,8.17014,8.2932
879.84,-4736.28,0.797759,-0.602977,8.20859,8.33229
876.677,-4732.06,0.802487,-0.59667,8.25348,8.36458
873.533,-4727.8,0.807111,-0.5904,8.29205,8.40318
870.503,-4723.63,0.811159,-0.584826,8.3372,8.43498
867.391,-4719.28,0.81522,-0.579151,8.38206,8.46672
864.294,-4714.9,0.818753,-0.574145,8.42035,8.50504
861.304,-4710.61,0.821756,-0.56984,8.46542,8.53637
